dato,aktiekurs
07/12/2001,1393.791
10/12/2001,1378.065
11/12/2001,1392.135
12/12/2001,1403.723
13/12/2001,1339.842
14/12/2001,1348.968
17/12/2001,1349.797
18/12/2001,1378.004
19/12/2001,1307.487
20/12/2001,1265.176
21/12/2001,1243.606
24/12/2001,1231.991
26/12/2001,1227.843
27/12/2001,1228.673
28/12/2001,1236.139
31/12/2001,1246.095
02/01/2002,1289.235
03/01/2002,1319.102
04/01/2002,1290.065
07/01/2002,1258.539
08/01/2002,1227.843
09/01/2002,1199.636
10/01/2002,1169.77
11/01/2002,1189.68
14/01/2002,1177.236
15/01/2002,1168.11
16/01/2002,1157.325
17/01/2002,1182.214
18/01/2002,1182.214
22/01/2002,1122.481
23/01/2002,1124.97
24/01/2002,1119.992
25/01/2002,1119.992
28/01/2002,1122.481
29/01/2002,1115.844
30/01/2002,1111.696
31/01/2002,1104.229
01/02/2002,1093.444
04/02/2002,1032.882
05/02/2002,989.741
06/02/2002,999.6965
07/02/2002,1020.437
08/02/2002,1061.918
11/02/2002,1115.844
12/02/2002,1111.696
13/02/2002,1111.696
14/02/2002,1090.955
15/02/2002,1056.941
19/02/2002,1016.289
20/02/2002,1026.245
21/02/2002,995.5483
22/02/2002,978.9558
25/02/2002,1082.659
26/02/2002,1076.022
27/02/2002,1119.992
28/02/2002,1078.511
01/03/2002,1153.177
04/03/2002,1182.214
05/03/2002,1227.843
06/03/2002,1229.502
07/03/2002,1205.443
08/03/2002,1236.969
11/03/2002,1222.036
12/03/2002,1198.806
13/03/2002,1171.429
14/03/2002,1159.781
15/03/2002,1164.773
18/03/2002,1155.621
19/03/2002,1164.773
20/03/2002,1099.878
21/03/2002,1123.174
22/03/2002,1117.35
25/03/2002,1121.51
26/03/2002,1134.822
27/03/2002,1143.973
28/03/2002,1181.412
01/04/2002,1210.532
02/04/2002,1210.532
03/04/2002,1185.572
04/04/2002,1156.453
05/04/2002,1148.133
08/04/2002,1159.781
09/04/2002,1152.293
10/04/2002,1152.293
11/04/2002,1131.494
12/04/2002,1118.182
15/04/2002,1136.486
16/04/2002,1247.971
17/04/2002,1358.623
18/04/2002,1322.849
19/04/2002,1323.681
22/04/2002,1302.05
23/04/2002,1223.844
24/04/2002,1202.212
25/04/2002,1232.995
26/04/2002,1247.971
29/04/2002,1262.115
30/04/2002,1281.25
01/05/2002,1284.578
02/05/2002,1277.09
03/05/2002,1238.819
06/05/2002,1201.38
07/05/2002,1222.179
08/05/2002,1322.849
09/05/2002,1272.93
10/05/2002,1228.003
13/05/2002,1322.849
14/05/2002,1347.808
15/05/2002,1355.296
16/05/2002,1389.407
17/05/2002,1396.063
20/05/2002,1397.727
21/05/2002,1364.448
22/05/2002,1372.768
23/05/2002,1410.207
24/05/2002,1401.887
28/05/2002,1386.912
29/05/2002,1330.337
30/05/2002,1312.865
31/05/2002,1330.337
03/06/2002,1277.09
04/06/2002,1301.218
05/06/2002,1282.914
06/06/2002,1227.171
07/06/2002,1232.995
10/06/2002,1268.771
11/06/2002,1202.212
12/06/2002,1306.209
13/06/2002,1322.892
14/06/2002,1301.205
17/06/2002,1367.933
18/06/2002,1349.583
19/06/2002,1292.864
20/06/2002,1232.808
21/06/2002,1243.652
24/06/2002,1202.78
25/06/2002,1191.103
26/06/2002,1171.084
27/06/2002,1205.283
28/06/2002,1216.96
01/07/2002,1192.771
02/07/2002,1181.094
03/07/2002,1210.287
05/07/2002,1263.67
08/07/2002,1223.633
09/07/2002,1217.794
10/07/2002,1166.08
11/07/2002,1121.872
12/07/2002,1147.729
15/07/2002,1154.402
16/07/2002,1211.956
17/07/2002,1263.67
18/07/2002,1251.159
19/07/2002,1239.481
22/07/2002,1177.757
23/07/2002,1117.702
24/07/2002,1122.706
25/07/2002,1015.941
26/07/2002,909.1753
29/07/2002,1008.434
30/07/2002,999.2585
31/07/2002,967.5625
01/08/2002,950.8804
02/08/2002,920.8528
05/08/2002,859.9629
06/08/2002,913.3457
07/08/2002,917.5164
08/08/2002,984.2446
09/08/2002,1000.927
12/08/2002,948.3782
13/08/2002,955.051
14/08/2002,1006.766
15/08/2002,1025.95
16/08/2002,1075.996
19/08/2002,1116.033
20/08/2002,1056.812
21/08/2002,1116.033
22/08/2002,1128.545
23/08/2002,1084.337
26/08/2002,1084.337
27/08/2002,1065.987
28/08/2002,1009.268
29/08/2002,1026.784
30/08/2002,1000.927
03/09/2002,970.8989
04/09/2002,1006.766
05/09/2002,979.24
06/09/2002,1023.448
09/09/2002,1048.471
10/09/2002,1025.116
11/09/2002,1031.789
12/09/2002,978.2327
13/09/2002,963.1702
16/09/2002,936.3921
17/09/2002,893.7148
18/09/2002,902.9197
19/09/2002,846.8533
20/09/2002,876.9785
23/09/2002,846.8533
24/09/2002,840.9956
25/09/2002,900.4092
26/09/2002,890.3674
27/09/2002,861.0791
30/09/2002,851.8743
01/10/2002,876.9785
02/10/2002,849.3638
03/10/2002,875.3049
04/10/2002,837.6484
07/10/2002,794.9709
08/10/2002,815.8914
09/10/2002,694.5535
10/10/2002,760.6616
11/10/2002,834.301
14/10/2002,845.1797
15/10/2002,845.1797
16/10/2002,656.897
17/10/2002,673.6333
18/10/2002,650.2026
21/10/2002,653.5498
22/10/2002,681.1646
23/10/2002,736.394
24/10/2002,731.3733
25/10/2002,744.7622
28/10/2002,753.1304
29/10/2002,743.0886
30/10/2002,768.1931
31/10/2002,767.3562
01/11/2002,788.2764
04/11/2002,835.1379
05/11/2002,824.2595
06/11/2002,805.0127
07/11/2002,754.804
08/11/2002,736.394
11/11/2002,701.248
12/11/2002,732.2102
13/11/2002,732.2102
14/11/2002,758.988
15/11/2002,756.4778
18/11/2002,784.0925
19/11/2002,745.5991
20/11/2002,782.4187
21/11/2002,871.1208
22/11/2002,879.489
25/11/2002,880.3257
26/11/2002,914.635
27/11/2002,952.2915
29/11/2002,940.5762
02/12/2002,979.0696
03/12/2002,879.489
04/12/2002,835.1379
05/12/2002,824.2595
06/12/2002,825.9331
09/12/2002,772.3772
10/12/2002,771.5403
11/12/2002,802.5022
12/12/2002,800.8286
13/12/2002,799.9883
16/12/2002,820.9966
17/12/2002,798.3079
18/12/2002,774.7786
19/12/2002,747.0479
20/12/2002,752.9302
23/12/2002,750.4092
24/12/2002,734.4431
26/12/2002,752.0898
27/12/2002,756.2915
30/12/2002,729.4011
31/12/2002,726.8801
02/01/2003,773.0979
03/01/2003,770.5769
06/01/2003,815.1143
07/01/2003,814.2739
08/01/2003,811.7529
09/01/2003,831.9207
10/01/2003,834.4417
13/01/2003,794.1062
14/01/2003,794.9463
15/01/2003,777.2996
16/01/2003,767.2156
17/01/2003,736.9641
21/01/2003,735.2834
22/01/2003,716.7964
23/01/2003,728.5608
24/01/2003,728.5608
27/01/2003,704.1914
28/01/2003,697.4688
29/01/2003,697.4688
30/01/2003,680.6624
31/01/2003,670.5784
03/02/2003,672.259
04/02/2003,664.6963
05/02/2003,657.1333
06/02/2003,649.5703
07/02/2003,647.8896
10/02/2003,674.78
11/02/2003,684.864
12/02/2003,672.259
13/02/2003,670.5784
14/02/2003,705.8721
18/02/2003,694.1074
19/02/2003,696.6284
20/02/2003,690.7461
21/02/2003,693.2673
24/02/2003,681.5027
25/02/2003,684.864
26/02/2003,685.7043
27/02/2003,695.7881
28/02/2003,707.5527
03/03/2003,707.5527
04/03/2003,684.864
05/03/2003,694.1074
06/03/2003,676.4607
07/03/2003,673.0994
10/03/2003,663.856
11/03/2003,670.5784
12/03/2003,678.9817
13/03/2003,676.4482
14/03/2003,691.6492
17/03/2003,720.3625
18/03/2003,733.8745
19/03/2003,696.7163
20/03/2003,697.5608
21/03/2003,717.8289
24/03/2003,699.2498
25/03/2003,726.2739
26/03/2003,718.6733
27/03/2003,713.6064
28/03/2003,700.9387
31/03/2003,697.5608
01/04/2003,705.1614
02/04/2003,727.1184
03/04/2003,713.6064
04/04/2003,717.8289
07/04/2003,720.3625
08/04/2003,702.6279
09/04/2003,671.3811
10/04/2003,675.6038
11/04/2003,675.6038
14/04/2003,673.9146
15/04/2003,670.5366
16/04/2003,661.2471
17/04/2003,667.1587
21/04/2003,664.6252
22/04/2003,682.3599
23/04/2003,707.6948
24/04/2003,687.4268
25/04/2003,667.1587
28/04/2003,676.4482
29/04/2003,678.1372
30/04/2003,668.0032
01/05/2003,670.5366
02/05/2003,679.8262
05/05/2003,686.5823
06/05/2003,688.2712
07/05/2003,677.2927
08/05/2003,676.4482
09/05/2003,673.0701
12/05/2003,682.3599
13/05/2003,679.8262
14/05/2003,753.2981
15/05/2003,768.4993
16/05/2003,751.6091
19/05/2003,722.0515
20/05/2003,716.1399
21/05/2003,700.9387
22/05/2003,712.762
23/05/2003,716.9844
27/05/2003,738.9417
28/05/2003,726.2739
29/05/2003,734.719
30/05/2003,719.5178
02/06/2003,737.2524
03/06/2003,716.9844
04/06/2003,756.676
05/06/2003,774.4106
06/06/2003,750.7646
09/06/2003,733.03
10/06/2003,726.2739
11/06/2003,750.7646
12/06/2003,767.731
13/06/2003,734.6465
16/06/2003,743.978
17/06/2003,757.5513
18/06/2003,787.2424
19/06/2003,816.0854
20/06/2003,825.417
23/06/2003,794.8774
24/06/2003,796.574
25/06/2003,801.6638
26/06/2003,808.7134
27/06/2003,795.7256
30/06/2003,799.9673
01/07/2003,783.8491
02/07/2003,817.782
03/07/2003,811.8438
07/07/2003,850.8667
08/07/2003,837.2935
09/07/2003,869.5298
10/07/2003,803.3606
11/07/2003,806.7539
14/07/2003,805.9055
15/07/2003,829.6584
16/07/2003,791.4841
17/07/2003,758.3994
18/07/2003,767.731
21/07/2003,739.7363
22/07/2003,756.7029
23/07/2003,775.366
24/07/2003,768.5793
25/07/2003,777.9109
28/07/2003,794.0291
29/07/2003,779.6077
30/07/2003,771.9727
31/07/2003,766.8828
01/08/2003,783.0007
04/08/2003,796.574
05/08/2003,783.0007
06/08/2003,788.0908
07/08/2003,786.394
08/08/2003,778.7593
11/08/2003,786.394
12/08/2003,791.4841
13/08/2003,786.394
14/08/2003,816.0854
15/08/2003,827.1135
18/08/2003,834.7485
19/08/2003,865.2881
20/08/2003,851.7148
21/08/2003,869.5298
22/08/2003,874.6196
25/08/2003,872.9229
26/08/2003,910.249
27/08/2003,910.249
28/08/2003,910.249
29/08/2003,910.249
02/09/2003,902.6143
03/09/2003,897.5244
04/09/2003,919.5806
05/09/2003,911.9458
08/09/2003,956.9067
09/09/2003,950.1204
10/09/2003,906.8557
11/09/2003,933.1538
12/09/2003,922.9368
15/09/2003,911.0168
16/09/2003,930.5996
17/09/2003,905.9084
18/09/2003,947.6279
19/09/2003,944.2222
22/09/2003,1026.81
23/09/2003,1047.244
24/09/2003,1043.838
25/09/2003,1066.826
26/09/2003,1066.826
29/09/2003,1047.244
30/09/2003,1017.444
01/10/2003,1032.77
02/10/2003,1038.73
03/10/2003,1045.541
06/10/2003,1149.414
07/10/2003,1197.093
08/10/2003,1163.888
09/10/2003,1168.997
10/10/2003,1174.105
13/10/2003,1180.917
14/10/2003,1155.374
15/10/2003,1173.254
16/10/2003,1166.442
17/10/2003,1147.711
20/10/2003,1123.871
21/10/2003,1142.603
22/10/2003,1125.574
23/10/2003,1147.711
24/10/2003,1128.128
27/10/2003,1112.803
28/10/2003,1140.048
29/10/2003,1180.917
30/10/2003,1170.699
31/10/2003,1151.968
03/11/2003,1178.362
04/11/2003,1187.728
05/11/2003,1183.471
06/11/2003,1187.728
07/11/2003,1208.162
10/11/2003,1147.711
