"y","z","aar","maaned"
8.31,7.25,1976,12
7.4,6.81,1976,1
7.57,7,1976,2
7.27,6.81,1976,3
7.42,6.96,1977,4
6.88,6.76,1977,5
7.76,7.35,1977,6
8.62,8.05,1977,7
8.78,8.27,1977,8
8.67,8.15,1977,9
8.8,8.41,1977,10
9.36,8.66,1977,11
8.87,8.41,1977,12
8.05,8,1977,1
7.66,7.61,1977,2
7.31,7.24,1977,3
6.83,7.23,1978,4
5.98,6.65,1978,5
6.11,6.81,1978,6
6.9,7.76,1978,7
6.39,7.39,1978,8
6.29,7.17,1978,9
7.11,7.72,1978,10
7.7,8.16,1978,11
7.75,8.29,1978,12
6.95,7.81,1978,1
6.49,7.46,1978,2
6.6,7.43,1978,3
5.81,6.99,1979,4
5.91,7.06,1979,5
6.21,7.13,1979,6
5.92,6.84,1979,7
6.4,7.27,1979,8
6.52,7.31,1979,9
6.2,7.12,1979,10
6,6.86,1979,11
5.84,6.66,1979,12
5.5,6.24,1979,1
5.29,6.09,1979,2
4.89,5.68,1979,3
5.29,6.22,1980,4
5.47,6.44,1980,5
5.5,6.47,1980,6
5.44,6.31,1980,7
5.84,6.55,1980,8
5.8,6.39,1980,9
5.94,6.51,1980,10
6.37,6.79,1980,11
6.53,6.84,1980,12
6.97,7.19,1980,1
6.95,7.22,1980,2
6.96,7.3,1980,3
7.28,7.61,1981,4
7.34,7.67,1981,5
7.31,7.7,1981,6
7.45,7.85,1981,7
7.82,8.07,1981,8
8.09,8.3,1981,9
8.39,8.54,1981,10
8.31,8.33,1981,11
8.64,8.41,1981,12
9.14,8.62,1981,1
10.01,9.04,1981,2
10.3,9.33,1981,3
10.41,9.5,1982,4
10.24,9.29,1982,5
10.25,9.38,1982,6
10.12,9.43,1982,7
10.12,9.42,1982,8
9.57,8.95,1982,9
9.64,8.94,1982,10
9.98,9.14,1982,11
10.84,9.69,1982,12
12.44,10.95,1982,1
12.39,11.18,1982,2
11.98,10.71,1982,3
12.06,10.88,1983,4
13.92,12.84,1983,5
15.82,14.05,1983,6
13.3,12.02,1983,7
9.39,9.44,1983,8
8.16,8.91,1983,9
8.65,9.27,1983,10
10.24,10.63,1983,11
11.52,11.57,1983,12
12.49,12.01,1983,1
14.15,13.31,1983,2
14.88,13.65,1983,3
14.08,13.01,1984,4
14.57,13.65,1984,5
13.71,13.51,1984,6
14.32,14.09,1984,7
16.2,15.08,1984,8
14.86,14.29,1984,9
15.72,15.15,1984,10
16.72,16,1984,11
16.52,16.22,1984,12
15.38,15.5,1984,1
12.41,13.11,1984,2
12.85,13.66,1984,3
14.32,14.64,1985,4
14.73,14.73,1985,5
13.95,14.13,1985,6
13.98,14.18,1985,7
13.34,13.77,1985,8
14.07,14.48,1985,9
13.24,14,1985,10
11.43,12.62,1985,11
10.85,12.03,1985,12
9.32,10.62,1985,1
9.16,9.98,1985,2
8.91,9.88,1985,3
8.62,9.64,1986,4
8.92,9.91,1986,5
9.04,9.84,1986,6
8.98,9.76,1986,7
